marca,clase,provincia,servicio,cantidad
CHEVROLET,Camión,PASTAZA,PARTICULAR,20
Otras Marcas,Camión,MANABÍ,PARTICULAR,20
MAN,Camión,LOS RÍOS,PARTICULAR,20
HINO,Volqueta,ORELLANA,ALQUILER,20
FORD,Volqueta,TUNGURAHUA,PARTICULAR,20
NISSAN,Volqueta,PICHINCHA,ALQUILER,20
HINO,Volqueta,CAÑAR,MUNNICIPIO,20
Otras Marcas,Trailer,CARCHI,ALQUILER,20
NISSAN,Camión,PICHINCHA,ALQUILER,20
HINO,Camión,PASTAZA,ALQUILER,19
VOLVO,Volqueta,IMBABURA,ALQUILER,19
ISUZU,Camión,PICHINCHA,ALQUILER,19
INTERNATIONAL,Trailer,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,19
Otras Marcas,Trailer,AZUAY,ALQUILER,19
HINO,Volqueta,MANABÍ,ALQUILER,19
HINO,Tanquero,GUAYAS,ALQUILER,19
CHEVROLET,Camión,NAPO,PARTICULAR,19
HINO,Camión,ZAMORA CHINCHIPE,ALQUILER,19
Otras Marcas,Trailer,MANABÍ,PARTICULAR,19
INTERNATIONAL,Tanquero,GUAYAS,PARTICULAR,19
Otras Marcas,Volqueta,LOS RÍOS,PARTICULAR,19
KENWORTH,Trailer,IMBABURA,ALQUILER,19
CHEVROLET,Volqueta,IMBABURA,ALQUILER,19
HINO,Camión,MORONA SANTIAGO,ALQUILER,19
VOLVO,Camión,PICHINCHA,PARTICULAR,18
DAIHATSU,Camión,NAPO,PARTICULAR,18
CHEVROLET,Camión,EL ORO,ALQUILER,18
FORD,Tanquero,LOS RÍOS,PARTICULAR,18
NISSAN,Camión,CHIMBORAZO,PARTICULAR,18
CHEVROLET,Camión,MORONA SANTIAGO,PARTICULAR,18
